Año;Departamento;Empresa;Variable Calculada;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;Total Residencial;Industrial;Comercial;Oficial;Otros;Total No Residencial
2016;D.C.;RUITOQUE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;2637423;8564510;0;7784973;18986906
2016;D.C.;SPECTRUM RENOVAVEIS SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;11997454;7763627;0;0;19761081
2016;D.C.;TERMOTASAJERO SA ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;2804178;0;0;0;2804178
2016;D.C.;TERPEL ENERGIA S.A.S E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;33762898;0;0;33762898
2016;D.C.;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;1131350;676901;1271581;45720;3125552;21212253;74911763;0;1057357;97181373
2016;GUAINIA;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;3338565;0;1059525;4398090
2016;GUAVIARE;EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP;Consumo Empresa Departamento;10369227;7676036;2797485;12430;0;0;20855178;326959;8342474;12470777;790118;21930328
2016;HUILA;CELSIA COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;400941;0;0;0;400941
2016;HUILA;DICELER S.A E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;259217;0;0;259217
2016;HUILA;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;832650;2931956;0;0;3764606
2016;HUILA;E2 ENERGIA EFICIENTE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;34302;0;0;34302
2016;HUILA;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;656067;7185440;0;0;7841507
2016;HUILA;ELECTRIFICADORA DEL HUILA S.A. E.S.P.;Consumo Empresa Departamento;121549344;208633530;49295643;23571051;7284146;648875;410982589;62208609;152454827;46844457;93184990;354692883
2016;HUILA;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;1416882;8748974;0;0;10165856
2016;HUILA;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;64742297;3578052;378957;0;68699306
2016;HUILA;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;0;507379;0;0;0;507379;319333;734251;0;91757;1145341
2016;HUILA;GENERSA S.A.S E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;567715;0;0;0;567715
2016;HUILA;ITALCOL ENERGIA S.A. ESP.;Consumo Empresa Departamento;0;0;0;0;0;0;0;4135698;0;0;0;4135698
2016;HUILA;TERPEL ENERGIA S.A.S E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;174530;0;0;174530
